site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
Laguna del Hunco,eeco,lat,lma,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,14.1,-999.9,-999.9,9.3,18.9,9.3,18.9,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,mlr,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,19.6,-999.9,-999.9,17.5,21.7,17.5,21.7,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,slr,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,19.3,-999.9,-999.9,17.1,21.5,17.1,21.5,-999.9,-999.9,1,1,1,1,1,1
lodo gulch,eeco,sst,del18O,36.59,-120.64,42.36,-108.2,42.35,-93.88,17.46,19.06,20.24,1.16,-999.9,-999.9,17.46,20.24,17.03,20.39,1,1,1,1,1,1
lodo gulch,petm,sst,del18O,36.59,-120.64,43.24,-107.39,44.11,-91.76,19.42,21.49,23.04,0.79,-999.9,-999.9,19.42,23.04,19.24,23.6,1,1,1,1,1,1
Lowana Road,eeco,lat,all,-42.15,145.3,-68.07,150.86,-58.35,160.58,-999.9,24.3,-999.9,-999.9,21,27.6,21,27.6,-999.9,-999.9,1,1,1,1,1,0
Lowana Road,eeco,lat,ca,-42.15,145.3,-68.07,150.86,-58.35,160.58,-999.9,22.7,-999.9,-999.9,20.9,24.5,20.9,24.5,-999.9,-999.9,1,1,1,1,1,0
Lowana Road,eeco,lat,pls,-42.15,145.3,-68.07,150.86,-58.35,160.58,-999.9,23,-999.9,-999.9,19.7,26.3,19.7,26.3,-999.9,-999.9,1,1,1,1,1,0
McAbee,eeco,lat,lma,51,-121,56.75,-107.09,56.03,-86.85,-999.9,12.8,-999.9,-999.9,9.2,16.4,9.2,16.4,-999.9,-999.9,1,1,1,1,1,1
midwaipara,eeco,lat,ba,-43.07,172.74,-54.9,-160.07,-46.29,-161.06,-999.9,16.4,-999.9,-999.9,9.2,23.6,9.2,23.6,-999.9,-999.9,1,1,1,1,1,0
midwaipara,eeco,lat,ca,-43.07,172.74,-54.9,-160.07,-46.29,-161.06,-999.9,20,-999.9,-999.9,14.6,25.3,14.6,25.3,-999.9,-999.9,1,1,1,1,1,0
midwaipara,eeco,lat,mbtcbt,-43.07,172.74,-54.9,-160.07,-46.29,-161.06,19.3,20.79,21.5,1,19.87,21.71,19.87,21.71,18.91,21.5,1,1,1,0,1,0
midwaipara,eeco,sst,del18O,-43.06,172.61,-54.88,-160.24,-46.26,-161.19,23.51,28.36,33.48,4.18,-999.9,-999.9,23.51,33.48,23.3,34.64,1,1,1,1,1,0
midwaipara,eeco,sst,mgca,-43.06,172.61,-54.88,-160.24,-46.26,-161.19,23.06,27.1,30.63,3.1,-999.9,-999.9,23.06,30.63,18.35,34.11,1,1,1,1,1,0
midwaipara,eeco,sst,tex86,-43.06,172.61,-54.88,-160.24,-46.26,-161.19,28.26,34.46,43.47,1.41,-999.9,-999.9,28.26,43.47,25.87,45.45,1,1,0,1,1,0
midwaipara,petm,lat,mbtcbt,-43.1,172.7,-56.84,-158.08,-47.54,-158.36,19.84,21.16,22.49,2.09,19.69,22.64,19.69,22.64,19.69,22.64,1,1,1,0,1,0
midwaipara,petm,sst,tex86,-43.06,172.61,-56.82,-158.25,-47.52,-158.5,30.69,37.16,46.94,1.86,-999.9,-999.9,30.69,46.94,29.55,48.61,1,1,0,1,1,0
millville,lp,sst,del18O,39.24,-75.05,41.8,-58.29,34.79,-46.51,20.63,23.4,25.82,2.13,-999.9,-999.9,20.63,25.82,20.44,27.02,1,1,1,1,1,1
millville,petm,sst,del18O,39.24,-75.05,41.8,-58.29,34.79,-46.51,25.29,28.06,31.68,2.13,-999.9,-999.9,25.29,31.68,24.75,35.35,1,1,1,1,1,1
Mountain Boy,eeco,lat,mbtcbt,39.66,-120.95,45.43,-108.29,45.35,-92.94,-999.9,7.8,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
odp 1172,eeco,lat,mbtcbt,-43.57,149.55,-68.31,160.06,-58.38,167.11,21.39,21.95,22.55,0.42,21.55,22.35,21.55,22.35,21.23,22.72,1,1,1,0,1,0
odp 1172,eeco,sst,tex86,-43.58,149.56,-68.31,160.09,-58.38,167.13,25.9,32.76,41.23,1.79,-999.9,-999.9,25.9,41.23,20.23,43.58,1,1,0,1,1,0
odp 1172,lp,sst,tex86,-43.58,149.56,-69.46,159.91,-59.25,169.56,18.96,25.48,32.15,1.14,-999.9,-999.9,18.96,32.15,16.99,35.1,1,1,0,1,1,0
odp 1172,petm,sst,tex86,-43.58,149.56,-69.46,159.91,-59.25,169.56,26.69,33.62,42.31,1.37,-999.9,-999.9,26.69,42.31,25.08,45.2,1,1,0,1,1,0
odp 1209,lp,sst,del18O,32.68,158.6,19.59,-167.63,29.29,-160.23,17.41,18.73,20.25,1.05,-999.9,-999.9,17.41,20.25,15.36,20.88,1,0,1,1,1,1
odp 1209,lp,sst,mgca,32.68,158.6,19.59,-167.63,29.29,-160.23,25.25,28.71,31.96,0.9,-999.9,-999.9,25.25,31.96,23.57,34.55,1,1,1,1,1,1
odp 1209,petm,sst,del18O,32.68,158.6,19.59,-167.63,29.29,-160.23,18.06,20.25,22.04,1.22,-999.9,-999.9,18.06,22.04,16.98,22.92,1,0,1,1,1,1
odp 1209,petm,sst,mgca,32.68,158.6,19.59,-167.63,29.29,-160.23,26.88,32.71,38.27,1.13,-999.9,-999.9,26.88,38.27,24.08,40.47,1,1,1,1,1,1
odp 401,eeco,sst,del18O,47.43,-8.81,46.22,-9.37,36.28,-4.79,15.69,16.97,18.51,0.97,-999.9,-999.9,15.69,18.51,15.61,18.8,1,0,1,1,1,1
odp 689,lp,sst,del18O,-64.31,3.06,-60.59,-4.35,-70.94,3.04,10.79,12.71,15.71,2.48,-999.9,-999.9,10.79,15.71,10.76,15.92,1,0,1,1,1,1
odp 689,petm,sst,del18O,-64.31,3.06,-60.59,-4.35,-70.94,3.04,15.73,15.98,16.23,0.39,-999.9,-999.9,15.73,16.23,15.7,16.26,1,0,1,1,1,1
odp 690,eeco,sst,del18O,-65.33,1.28,-62.3,-5.76,-72.13,3.57,6.96,12.87,17.03,3.45,-999.9,-999.9,6.96,17.03,5.28,18.45,1,0,1,1,1,1
odp 690,lp,sst,del18O,-65.33,1.28,-61.35,-6.04,-71.72,0.54,8.82,11.11,15.5,1.77,-999.9,-999.9,8.82,15.5,7.44,16.01,1,0,1,1,1,1
odp 690,petm,sst,del18O,-65.33,1.28,-61.35,-6.04,-71.72,0.54,14.12,17.45,21.43,2.52,-999.9,-999.9,14.12,21.43,13.49,21.9,1,0,1,1,1,1
odp 738,eeco,sst,del18O,-62.72,82.79,-63.63,72.33,-62.59,97.24,10.48,12.29,14.02,1.68,-999.9,-999.9,10.48,14.02,6.16,14.58,1,0,1,1,1,1
odp 865,eeco,sst,del18O,18.44,-179.56,6.53,-149.88,13.66,-143.44,16.82,20.04,22.24,1.73,-999.9,-999.9,16.82,22.24,16.56,22.77,1,0,1,1,1,1
odp 865,eeco,sst,mgca,18.44,-179.56,6.53,-149.88,13.66,-143.44,29.31,35.05,39.09,1.46,-999.9,-999.9,29.31,39.09,27.83,41.57,1,1,1,1,1,1
odp 865,lp,sst,del18O,18.55,-179.65,4.66,-148.24,12.62,-141.5,17.9,20.25,21.56,1.32,-999.9,-999.9,17.9,21.56,13.94,22.87,1,0,1,1,1,1
odp 865,lp,sst,mgca,18.55,-179.65,4.66,-148.24,12.62,-141.5,27.07,30.88,34.31,1.02,-999.9,-999.9,27.07,34.31,24.97,36.81,1,1,1,1,1,1
odp 865,petm,sst,del18O,18.55,-179.65,4.66,-148.24,12.62,-141.5,17.7,20.45,22.59,1.46,-999.9,-999.9,17.7,22.59,16.24,23.9,1,0,1,1,1,1
odp 865,petm,sst,mgca,18.55,-179.65,4.66,-148.24,12.62,-141.5,25.63,31.12,36.59,0.84,-999.9,-999.9,25.63,36.59,24.33,38.35,1,1,1,1,1,1
odp 865 sim,petm,sst,del18O,18.55,-179.65,4.66,-148.24,12.62,-141.5,23.69,30.82,32.76,2.37,-999.9,-999.9,23.69,32.76,22.77,32.86,1,0,1,1,1,1
odp 865 sims,eeco,sst,del18O,18.44,-179.56,6.53,-149.88,13.66,-143.44,22.96,25.91,27.97,1.94,-999.9,-999.9,22.96,27.97,22.77,28.41,1,0,1,1,1,1
odp 865 sims,lp,sst,del18O,18.55,-179.65,4.66,-148.24,12.62,-141.5,27.59,29.51,30.89,1.32,-999.9,-999.9,27.59,30.89,27.35,30.93,1,0,1,1,1,1
odp 913,eeco,lat,ba,75.49,-6.95,68.87,11.08,59.54,8.85,13.7,14.7,16.1,1,10.6,18.8,10.6,18.8,13.5,16.4,1,1,1,1,1,1
odp 929,eeco,sst,tex86,5.97,-43.73,6.06,-31.69,-3.43,-26.42,-999.9,37.46,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,0,1,1,1
odp 959,eeco,sst,tex86,3.63,-2.74,0.66,-8.39,-9.27,-3.12,29.95,37.49,45.54,0.51,-999.9,-999.9,29.95,45.54,29.28,46.65,1,1,0,1,1,1
odp 959,lp,sst,tex86,3.63,-2.74,0.82,-8.92,-9.55,-3.21,28.83,36.16,43.89,0.75,-999.9,-999.9,28.83,43.89,27.86,45.52,1,1,0,1,1,1
odp 959,petm,sst,tex86,3.63,-2.74,0.82,-8.92,-9.55,-3.21,34.59,43.15,52.58,0.2,-999.9,-999.9,34.59,52.58,34.27,53.04,1,1,0,1,1,1
Otaio River,eeco,lat,gdgtlignite,-44.5,170.9,-56.24,-162.58,-47.43,-163.38,27.24,27.87,28.85,0.72,27.21,28.52,27.21,28.52,27.22,28.93,1,1,1,1,1,0
Otaio River,petm,lat,ba,-44.5,170.9,-58.19,-160.71,-48.7,-160.72,-999.9,16,-999.9,-999.9,16,16,16,16,-999.9,-999.9,1,1,1,1,1,0
Otaio River,petm,lat,ca,-44.5,170.9,-58.19,-160.71,-48.7,-160.72,-999.9,17.4,-999.9,-999.9,17.4,17.4,17.4,17.4,-999.9,-999.9,1,1,1,1,1,0
Otaio River,petm,lat,clamp,-44.5,170.9,-58.19,-160.71,-48.7,-160.72,-999.9,19.8,-999.9,-999.9,17.8,21.8,17.8,21.8,-999.9,-999.9,1,1,1,1,1,0
paris basin,eeco,sst,del47,49.4,3.5,47.37,1.38,37.69,4.36,-999.9,18.5,-999.9,-999.9,15.8,21.3,15.8,21.3,-999.9,-999.9,1,1,1,1,1,1
Pentz,eeco,lat,mbtcbt,39.65,-121.56,45.46,-108.96,45.49,-93.59,-999.9,22.6,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Pine Grove 1 ,eeco,lat,mbtcbt,39.72,-120.9,45.5,-108.22,45.4,-92.86,-999.9,14.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Powder River Basin,eeco,lat,del18O,44.5,-107,49.43,-92.44,46.56,-76.59,-999.9,18.7,-999.9,-999.9,13.2,24.2,13.2,24.2,-999.9,-999.9,1,1,1,1,0,1
Princeton (One Mile Creek),eeco,lat,clamp,49.5,-120.5,55.23,-106.73,54.52,-87.32,-999.9,7.3,-999.9,-999.9,5.3,9.3,5.3,9.3,-999.9,-999.9,1,1,1,1,1,1
Princeton (One Mile Creek),eeco,lat,lma,49.5,-120.5,55.23,-106.73,54.52,-87.32,-999.9,5,-999.9,-999.9,1.4,8.6,1.4,8.6,-999.9,-999.9,1,1,1,1,1,1
Puget 9676 9677 WA,eeco,lat,clamp,47.49,-121.8,53.29,-108.45,52.96,-89.9,-999.9,16.2,-999.9,-999.9,14.2,18.2,14.2,18.2,-999.9,-999.9,1,1,1,1,1,1
Puget 9841 WA,eeco,lat,clamp,47.49,-121.8,53.29,-108.45,52.96,-89.9,-999.9,16.8,-999.9,-999.9,14.8,18.8,14.8,18.8,-999.9,-999.9,1,1,1,1,1,1
Quilchena,eeco,lat,lma,50.13,-120.51,55.86,-106.65,55.11,-86.92,-999.9,19,-999.9,-999.9,15.4,22.6,15.4,22.6,-999.9,-999.9,1,1,1,1,1,1
Republic,eeco,lat,clamp,48.6,-118.7,54.24,-104.82,53.25,-86.02,-999.9,9.4,-999.9,-999.9,7.4,11.4,7.4,11.4,-999.9,-999.9,1,1,1,1,1,1
Republic,eeco,lat,dlf,48.6,-118.7,54.24,-104.82,53.25,-86.02,-999.9,9,-999.9,-999.9,5,13,5,13,-999.9,-999.9,1,1,1,1,1,1
Republic,eeco,lat,dlf,48.6,-118.7,54.24,-104.82,53.25,-86.02,-999.9,8.9,-999.9,-999.9,5.6,12.2,5.6,12.2,-999.9,-999.9,1,1,1,1,1,1
Republic,eeco,lat,lma,48.6,-118.7,54.24,-104.82,53.25,-86.02,-999.9,11.3,-999.9,-999.9,7.7,14.9,7.7,14.9,-999.9,-999.9,1,1,1,1,1,1
Republic,eeco,lat,lma,48.6,-118.7,54.24,-104.82,53.25,-86.02,-999.9,9.2,-999.9,-999.9,4.4,14,4.4,14,-999.9,-999.9,1,1,1,1,1,1
Republic (Boot Hill),eeco,lat,clamp,48.47,-118.52,54.11,-104.63,53.09,-85.91,-999.9,8.8,-999.9,-999.9,6.8,10.8,6.8,10.8,-999.9,-999.9,1,1,1,1,1,1
Republic (Knob Hill WA),eeco,lat,clamp,48.47,-118.52,54.11,-104.63,53.09,-85.91,-999.9,11,-999.9,-999.9,9,13,9,13,-999.9,-999.9,1,1,1,1,1,1
Rio Pichileufu,eeco,lat,cca,-42.17,-70,-42.76,-56.5,-49.63,-58.88,-999.9,18.3,-999.9,-999.9,16.2,20.4,16.2,20.4,-999.9,-999.9,1,1,1,1,1,1
Rio Pichileufu,eeco,lat,mlr,-42.17,-70,-42.76,-56.5,-49.63,-58.88,-999.9,20.9,-999.9,-999.9,18.8,23,18.8,23,-999.9,-999.9,1,1,1,1,1,1
Rio Pichileufu,eeco,lat,slr,-42.17,-70,-42.76,-56.5,-49.63,-58.88,-999.9,20.6,-999.9,-999.9,18.5,22.7,18.5,22.7,-999.9,-999.9,1,1,1,1,1,1
sagamu nigeria,lp,sst,del18O,6.8,3.63,2.99,-2.16,-7.33,3.59,28.15,29.14,30.12,1.55,-999.9,-999.9,28.15,30.12,28.04,30.23,1,1,1,1,1,1
sagamu nigeria,lp,sst,tex86,6.8,3.63,2.99,-2.16,-7.33,3.59,28.83,36.23,43.7,1.05,-999.9,-999.9,28.83,43.7,27.02,45.26,1,1,0,1,1,1
saguma nigeria,lp,sst,mgca,6.8,3.63,2.99,-2.16,-7.33,3.59,28.38,32.48,36.04,1.81,-999.9,-999.9,28.38,36.04,24.89,39.43,1,1,1,1,1,1
Salta Basin NW Argentina,eeco,lat,pwi,-25,-70,-25.6,-57.12,-32.61,-55.89,10.2,11,12.6,1.1,9,13,9,13,10.1,12.8,1,1,1,1,0,1
Salta Basin NW Argentina,eeco,lat,sal,-25,-70,-25.6,-57.12,-32.61,-55.89,7.3,9.5,12.1,2.15,5.5,13.5,5.5,13.5,7.2,12.3,1,1,1,1,0,1
San Juan Basin,eeco,lat,del18O,36.5,-107.5,41.5,-94.06,39.12,-80.61,-999.9,27.8,-999.9,-999.9,22.3,33.3,22.3,33.3,-999.9,-999.9,1,1,1,1,0,1
Schöningen lignite,eeco,lat,gdgtlignite,51.1,11,50.09,9.92,40.81,11.36,26.12,27.29,28.05,0.66,26.64,27.94,26.64,27.94,25.18,28.13,1,1,1,1,1,1
Scotts Flat,eeco,lat,mbtcbt,39.27,-120.91,45.05,-108.28,44.98,-93.07,-999.9,15.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
siberia,eeco,sst,tex86,53.5,73.52,53.6,71.58,51.65,63.91,17.66,23.82,30.87,1.76,-999.9,-999.9,17.66,30.87,14.19,34.8,1,1,0,1,1,1
siberia,lp,sst,tex86,53.5,73.52,54.11,71.74,51.03,64.45,9.38,16.01,21.98,1.65,-999.9,-999.9,9.38,21.98,7.59,25.99,1,1,0,1,1,1
siberia,petm,sst,tex86,53.5,73.52,54.11,71.74,51.03,64.45,21.45,27.52,35.49,1.01,-999.9,-999.9,21.45,35.49,20.37,36.61,1,1,0,1,1,1
south dover bridge,eeco,sst,tex86,38.7,-76.1,40.85,-60.84,33.72,-50.31,26.69,33.79,42.43,0.6,-999.9,-999.9,26.69,42.43,25.96,43,1,1,0,1,1,1
store baelt,lp,lat,mbtcbt,52.35,11.8,51.55,10.28,41.6,12.9,17.89,18.72,19.65,0.73,18.04,19.39,18.04,19.39,17.81,19.8,1,1,1,0,1,1
store baelt,lp,sst,tex86,52.35,11.8,51.55,10.28,41.6,12.9,11.33,17.81,24.13,5.03,-999.9,-999.9,11.33,24.13,5.72,32.92,1,1,0,1,1,1
store baelt,petm,lat,mbtcbt,55.3,11.1,54.52,9.41,44.52,17.79,17.79,19.03,20.33,1.09,18.01,20.05,18.01,20.05,17.73,20.45,1,1,1,0,1,1
store baelt,petm,sst,tex86,52.35,11.8,51.55,10.28,41.6,12.9,20.54,26.64,34.44,2.85,-999.9,-999.9,20.54,34.44,18.54,39.79,1,1,0,1,1,1
tanzania,eeco,sst,tex86,-8.85,39.63,-16.77,32.65,-23.49,40.56,26.01,33.04,39.79,2.89,-999.9,-999.9,26.01,39.79,24.17,42.23,1,1,0,1,1,1
tanzania ,eeco,sst,del18O,-8.85,39.63,-16.77,32.65,-23.49,40.56,28.27,29.63,30.96,1.52,-999.9,-999.9,28.27,30.96,28.25,30.98,1,1,1,1,1,1
tawanui,eeco,sst,mgca,-40.38,176.38,-53.9,-159.2,-45.8,-160.2,22.66,26.39,29.99,1.2,-999.9,-999.9,22.66,29.99,21.82,30.96,1,1,1,1,1,0
tdp 14,lp,sst,del18O,-9.28,39.51,-17.27,31.85,-25.13,40.21,25.69,28.99,32.1,2.11,-999.9,-999.9,25.69,32.1,24.25,33.13,1,1,1,1,1,1
tdp 14,petm,sst,del18O,-9.28,39.51,-17.27,31.85,-25.13,40.21,27.16,32.4,38.44,4.81,-999.9,-999.9,27.16,38.44,27.15,38.58,1,1,1,1,1,1
tora,eeco,sst,mgca,-41.52,175.48,-54.1,-159,-46,-160,24.17,28.37,32.02,3.2,-999.9,-999.9,24.17,32.02,19.14,37.74,1,1,1,1,1,0
Tornilla Basin,eeco,lat,del47,29.44,-103.18,34.15,-90.26,31.31,-78.9,-999.9,27.4,-999.9,-999.9,22.9,31.9,22.9,31.9,-999.9,-999.9,1,1,1,1,1,1
Tornilla Basin,lp,lat,del47,29.4,-103.2,34.97,-89.27,32.83,-76.71,-999.9,26.8,-999.9,-999.9,21.6,32,21.6,32,-999.9,-999.9,1,1,1,1,1,1
tumey,petm,sst,del18O,36.32,-120.38,42.96,-107.12,43.79,-91.6,22.41,23.13,23.83,0.64,-999.9,-999.9,22.41,23.83,22.38,23.9,1,1,1,1,1,1
wilson lake,eeco,sst,del18O,39.66,-75.04,41.69,-59.59,34.41,-49.03,-999.9,23.57,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,1,1,1
wilson lake,eeco,sst,tex86,39.66,-75.04,41.69,-59.59,34.41,-49.03,25.06,31.81,38.54,1.47,-999.9,-999.9,25.06,38.54,23.61,40.16,1,1,0,1,1,1
wilson lake,lp,sst,del18O,39.66,-75.04,42.23,-58.01,35.17,-46.16,-999.9,18.78,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,1,1,1
wilson lake,lp,sst,tex86,39.66,-75.04,42.23,-58.01,35.17,-46.16,21.37,27.91,33.91,0.85,-999.9,-999.9,21.37,33.91,19.05,35.94,1,1,0,1,1,1
wilson lake,petm,sst,del18O,39.66,-75.04,42.23,-58.01,35.17,-46.16,26.33,28.51,30.64,1.49,-999.9,-999.9,26.33,30.64,26,31.67,1,1,1,1,1,1
wilson lake,petm,sst,tex86,39.66,-75.04,42.23,-58.01,35.17,-46.16,31.45,39.13,47.42,1.38,-999.9,-999.9,31.45,47.42,29.45,50.4,1,1,0,1,1,1
Wind River Basin,eeco,lat,sal,43,-108.5,48.04,-94.3,45.52,-78.79,-999.9,8.9,-999.9,-999.9,4.9,12.9,4.9,12.9,-999.9,-999.9,1,1,1,1,0,1
Woolsey Flat,eeco,lat,mbtcbt,39.42,-120.86,45.19,-108.21,45.1,-92.95,-999.9,13.5,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
You Bet 2 ,eeco,lat,mbtcbt,39.21,-120.88,44.99,-108.25,44.92,-93.06,-999.9,15.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1